Team_name,Category,Country,Drive_Folder,Institution_Address,Institution_Name,Institution_Short_Name,Logo,Social_Facebook,Social_Instagram,Social_Twitter,Website_Url,Former_Name
AGH Racing Team,combustion,POL,,,AGH University of Science and Technology, Cracow,AGH UST,,https://www.facebook.com/aghracing/,https://www.instagram.com/agh_racing/?hl=pl,,http://www.racing.agh.edu.pl/,
Team Kratos Racing Electric,electric,IN,,,Pimpri Chinchwad College of Engineering,PCCOE,,https://www.facebook.com/kratosracing/,https://www.instagram.com/team_kratos/,https://twitter.com/kratos_team?lang=en,http://kratosracing.com/,
DJS Racing Electric,electric,IN,,,Dwarkadas J. Sanghvi College of Engineering,DJSCE,,,,,,
Formula Manipal Electric,electric,IN,,,Manipal Academy of Higher Education,MAHE,,https://www.facebook.com/FormulaManipal/,https://www.instagram.com/formulamanipal/,https://twitter.com/formulamanipal,http://formulamanipal.in/,
Axlr8r Formula Racing,electric,IN,,,Indian Institute of Technology DL,IIT DL,,https://www.facebook.com/Axlr8rFormulaRacing/,,,http://automobileclub.iitd.ac.in/,
4ZE Racing,electric,IN,,,SRM Institute of Science and Technology,SRM IST,,https://www.facebook.com/4zeracing/,https://www.instagram.com/4zeracing_srm/,,http://www.4zeracing.com/,
Team Chimera,electric,IN,,,R V College Of Engineering,RVCE,,https://www.facebook.com/TeamChimeraRacing/,https://www.instagram.com/team_chimera/,https://twitter.com/rvteamchimera?s=08,http://www.teamchimera.in/,
IIT Goa Motorsports,electric,IN,,,Indian Institute of Technology, Goa,IIT Goa,,,,,,
IIT Bombay Racing,electric,IN,,,Indian Institute of Technology Bombay,IIT Bombay,,http://www.facebook.com/iitbracing,http://www.instagram.com/iitb_racing/,http://www.twitter.com/IITB_Racing,http://www.iitbracing.org,
IIT Roorkee Motorsports,electric,IN,,,Indian Institute of Technology Roorkee,IIT Roorkee,,https://www.facebook.com/iitrms.in/,https://www.instagram.com/iitrms/,,http://iitrms.co.in/,
VITC Formula Electric,electric,IN,,,VIT Chennai,VIT Chennai,,https://www.facebook.com/vitcfe/,https://www.instagram.com/vitc_formula_e/,https://twitter.com/vitc_formula_e,,
Team Octavius,electric,IN,,,JSS Academy of Technical Education, Noida,JSSATEN,,,,,,
TEAM E-BOOSTERS,electric,IN,,,RMD Sinhgad School of Engineering,RMDSSOE,,,,,,
G-Tron,electric,IN,,,KLS Gogte Institute of Technology, Belagavi,KLS GIT,,https://www.facebook.com/GTRON2k19/,http://instagram.com/giteracing,https://twitter.com/G_tron19?s=08,http://gtron.git.edu/index.html,
Smokin' Axles,electric,IN,,,Sri Sairam Engineering College,Sri Sairam Engineering College,,,,,,
Valorous Line-Up,electric,IN,,,RMK Engineering College,RMK Engineering College,,https://www.facebook.com/Valorous-Lineup-763046420559441/,https://www.instagram.com/valorouslineup/,https://twitter.com/UpValorous?s=08,,
Spark Racing Team,electric,IN,,,Pillai College Of Engineering,PCE,,,,,http://sparkpce.com/index.html,
Stier Racing,electric,IN,,,Ramaiah Institute of Technology,Ramaiah Institute of Technology,,https://www.facebook.com/stierracing/,https://www.instagram.com/stierracingmsrit/,https://twitter.com/Stier_Racing,https://stierracingmsrit.weebly.com/,
Hertz Electric,electric,IN,,,DL Technological University,DTU,,https://www.facebook.com/hertz.electric.dtu/,,,,
Test Team,combustion,IN,,Test Adddr,Test Uni,TU,,,,,https://mobilityeng.online,
PARSEC Racing,electric,,,,Dayananda Sagar College of Engineering,,,,,,,
ZHCET Formula Racing,electric,,,,Zakir Husain College of Engineering and Technology,,,,,,,
Pravega Racing,combustion,,,,VIT University Vellore,,,,,,,
Team Ojas,electric,,,,VIT Vellore,,,,,,,
Team VEGA,electric,,,,PES University,,,,,,,
GVA Motorsports,combustion,,,,G.V. Acharya Institute of Engineering and Technology,,,,,,,
Stallion Motorsport Electric,electric,,,,Smt. Kashibai Navale College of Engineering,,,,,,,
Force Ikshvaku EV,electric,,,,The National Institute of Engineering,,,,,,,
Fierce Formula India,combustion,,,,VNR Vignana Jyothi Institute of Engineering and Technology,,,,,,,
Team MH-08 Racing,combustion,,,,Rajendra Mane College of Engineering and Technology,,,,,,,
IITK Motorsports,combustion,,,,Indian Institute of Technology, Kanpur,,,,,,,
Amarath Bhishma,electric,,,,M.V.S.R. Engineering College,,,,,,,
Amrita Racing,combustion,,,,Amrita School of Engineering,,,,,,,
Ojaswat,combustion,,,,Chandubhai S Patel Institute of Technology,,,,,,,
Skyline Racing,electric,,,,Kalinga Institute of Industrial Technology,,,,,,,
Team Vamos Autocross,combustion,,,,Sinhgad Academy of Engineering,Kondhwa (BK),,,,,,,
Team Kratos Racing,combustion,,,,Pimpri Chinchwad College of Engineering,,,,,,,
Adhira,electric,,,,Indian Institute of Technology Madras,,,,,,,
Team Unwired,combustion,,,,National Institute of Technology, Calicut,,,,,,,
Atraiu Racing,combustion,,,,Hindustan Institute of Technology and Science,,,,,,,
Force Racing,combustion,,,,Kakatiya Institute of Technology and Science, Warangal,,,,,,,
Amity Racing,combustion,,,,Amity School of Engineering and Technology [NA],,,,,,,
Aious Formula Student,combustion,,,,Indira Gandhi Delhi Technical University for Women,,,,,,,
Team Mavericks,combustion,,,,M.C.K.V. Institute of Engineering,,,,,,,
Formula Nitte,combustion,,,,NMAM Institute of Technology,,,,,,,
GEU Motorsports,combustion,,,,Graphic Era University,,,,,,,
GS Racers,combustion,,,,Shri Govindram Seksaria Institute of Technology and Science,,,,,,,
Optimum Racing,combustion,,,,Pillai HOC College of Engineering and Technology,,,,,,,
Redline Racing,combustion,,,,JSPM's Rajarshi Shahu College OF Engineering,,,,,,,
Rampage Racers,combustion,,,,Jawaharlal Nehru Technological University,,,,,,,
Torrid Racing,combustion,,,,Datta Meghe College of Engineering,,,,,,,
Hermes Racing,combustion,,,,Kalinga Institute of Industrial Technology,,,,,,,
Team Terasvin,combustion,,,,Sona College of Technology,,,,,,,
Team Unique,combustion,,,,RTC Institute of Technology,,,,,,,
Team IShell,combustion,,,,Chandigarh University,,,,,,,
The Vayuputras,combustion,,,,Indus University,,,,,,,
Team Brahmos Racing,combustion,,,,Nagesh Karajagi Orchid College Of Engineering & Technology,,,,,,,
Max Torque Racing,combustion,,,,Acharya Institute of Technology,,,,,,,
Optimus,combustion,,,,Chandigarh Engineering College,,,,,,,
Vaayu,combustion,,,,MGM'S Jawaharlal Nehru Engineering College,,,,,,,
